date,region,activity_type,program_name,beneficiaries,attendance,gender,age_group,feedback
2024-01-15,Northern Province,Health Screening,Community Health,45,42,Mixed,Adults,"The health screening was very helpful. Many people got tested for the first time."
2024-01-18,Eastern District,Skills Training,Youth Empowerment,32,30,Female,Youth,"Excellent training program! I learned tailoring skills that will help me earn income."
2024-01-22,Western Region,Food Distribution,Emergency Relief,120,115,Mixed,All Ages,"We are grateful for the food assistance during this difficult period."
2024-02-01,Northern Province,Vaccination Drive,Community Health,78,75,Mixed,Children,"The vaccination drive was well-organized. Staff were professional and caring."
2024-02-05,Southern Zone,Literacy Classes,Education First,25,23,Female,Adults,"I can now read and write. This program has transformed my life completely."
2024-02-10,Eastern District,Water Well Installation,Clean Water Initiative,200,180,Mixed,All Ages,"Having clean water nearby has improved our health significantly."
2024-02-15,Central Region,Microfinance Workshop,Economic Empowerment,40,38,Female,Adults,"The microfinance training gave me the confidence to start my small business."
2024-02-20,Western Region,Agricultural Training,Food Security,55,50,Male,Adults,"The farming techniques taught here have doubled my crop yield. Very valuable."
2024-03-01,Northern Province,Mental Health Counseling,Community Health,18,16,Mixed,Adults,"Having someone to talk to has been incredibly helpful during challenging times."
2024-03-05,Southern Zone,School Supplies Distribution,Education First,150,145,Mixed,Children,"My children were so happy to receive new books and supplies for school."
2024-03-10,Eastern District,Women's Rights Workshop,Gender Equality,35,33,Female,Adults,"This workshop opened my eyes to rights I didn't know I had. Empowering."
2024-03-15,Central Region,HIV/AIDS Awareness,Community Health,60,55,Mixed,Youth,"The awareness session addressed many misconceptions. Very informative program."
2024-03-20,Western Region,Disaster Preparedness,Emergency Relief,45,40,Mixed,Adults,"Now we know what to do during floods. The training was practical and useful."
2024-04-01,Northern Province,Teacher Training,Education First,22,20,Mixed,Adults,"The new teaching methods are effective. My students are more engaged now."
2024-04-05,Southern Zone,Nutrition Program,Community Health,85,80,Mixed,Children,"The feeding program has helped my children gain weight and become healthier."
2024-04-10,Eastern District,Legal Aid Clinic,Justice Access,30,28,Mixed,Adults,"I finally got legal help with my land dispute. The lawyers were very supportive."
2024-04-15,Central Region,Youth Sports Program,Youth Empowerment,65,60,Male,Youth,"Playing football keeps us away from bad influences. Great initiative for youth."
2024-04-20,Western Region,Prenatal Care,Community Health,40,38,Female,Adults,"The prenatal checkups gave me peace of mind. The midwives are wonderful."
2024-05-01,Northern Province,Computer Training,Skills Development,28,25,Mixed,Youth,"Learning computers has opened new opportunities. I can now apply for better jobs."
2024-05-05,Southern Zone,Clean Cooking Stoves,Environmental Health,95,90,Female,Adults,"The new stove produces less smoke. My children's breathing problems have reduced."
2024-05-10,Eastern District,Conflict Resolution,Peace Building,50,45,Mixed,Adults,"The mediation helped resolve our community dispute peacefully. Very effective."
2024-05-15,Central Region,Eye Care Camp,Community Health,110,105,Mixed,Elderly,"I got free eyeglasses and can see clearly again. Thank you for this service."
2024-05-20,Western Region,Savings Group Formation,Economic Empowerment,35,32,Female,Adults,"Our savings group has helped us support each other financially. Wonderful program."
2024-06-01,Northern Province,Malaria Prevention,Community Health,70,65,Mixed,All Ages,"The mosquito nets have made a huge difference. Fewer malaria cases this season."
2024-06-05,Southern Zone,Vocational Training,Skills Development,42,40,Mixed,Youth,"I learned carpentry and already have my first client. Life-changing opportunity."
2024-06-10,Eastern District,Hygiene Education,Community Health,88,82,Mixed,Children,"The children now wash their hands regularly. Hygiene awareness has improved greatly."
2024-06-15,Central Region,Cooperative Formation,Economic Empowerment,55,50,Mixed,Adults,"Being part of a cooperative gives us better bargaining power for our produce."
2024-06-20,Western Region,GBV Response,Gender Equality,20,18,Female,Adults,"The counseling services have been a lifeline. I feel safer and more supported now."
2024-07-01,Northern Province,Dental Care Camp,Community Health,75,70,Mixed,All Ages,"Many children had their first dental checkup. The dentists were gentle and kind."
2024-07-05,Southern Zone,Leadership Training,Youth Empowerment,30,28,Mixed,Youth,"The leadership program taught me public speaking. I now lead our youth group."
2024-07-10,Eastern District,Irrigation Project,Food Security,160,150,Mixed,Adults,"The irrigation system has solved our dry season farming challenges completely."
2024-07-15,Central Region,Birth Registration,Justice Access,90,85,Mixed,Children,"My child finally has a birth certificate. This will help with school enrollment."
2024-07-20,Western Region,Elderly Care,Community Health,45,42,Mixed,Elderly,"The home visits by health workers have been very comforting and helpful."
2024-08-01,Northern Province,Environmental Education,Environmental Health,50,45,Mixed,Youth,"We learned about recycling and planted trees in our community. Very inspiring."
2024-08-05,Southern Zone,Disability Support,Inclusive Development,25,22,Mixed,Adults,"The assistive devices have given me independence. I can now move around freely."
2024-08-10,Eastern District,Market Access Program,Economic Empowerment,60,55,Mixed,Adults,"Connecting to new markets has increased our income by almost 40 percent."
2024-08-15,Central Region,Cholera Prevention,Community Health,100,95,Mixed,All Ages,"The water purification tablets are very useful. No cholera cases this year."
2024-08-20,Western Region,Peace Education,Peace Building,40,35,Mixed,Youth,"Understanding different perspectives has reduced conflicts in our school."
2024-09-01,Northern Province,Scholarship Program,Education First,15,15,Mixed,Youth,"The scholarship is helping me continue my education. I am the first in my family."
2024-09-05,Southern Zone,Poultry Farming,Food Security,48,45,Female,Adults,"The chickens provide eggs for my family and income from sales. Very beneficial."
2024-09-10,Eastern District,First Aid Training,Emergency Relief,35,32,Mixed,Adults,"Knowing first aid makes me confident to help during emergencies in our village."
2024-09-15,Central Region,Adolescent Health,Community Health,55,50,Mixed,Youth,"The program addressed issues we were too shy to ask about. Very important topics."
2024-09-20,Western Region,Land Rights Workshop,Justice Access,30,25,Female,Adults,"I now understand my land rights. The workshop was poorly organized though."
2024-10-01,Northern Province,Disaster Response,Emergency Relief,200,190,Mixed,All Ages,"The response was quick but supplies were insufficient for everyone affected."
2024-10-05,Southern Zone,Music Therapy,Mental Health,20,18,Mixed,Youth,"Music sessions help me express my feelings. I feel less stressed and more hopeful."
2024-10-10,Eastern District,Solar Panel Installation,Environmental Health,80,75,Mixed,All Ages,"Having solar power has changed our evenings. Children can now study after dark."
2024-10-15,Central Region,Business Mentoring,Economic Empowerment,25,22,Female,Adults,"My mentor helped me improve my business plan. Sales have increased significantly."
2024-10-20,Western Region,Community Policing,Peace Building,45,40,Mixed,Adults,"The relationship between police and community has improved. We feel safer now."
2024-11-01,Northern Province,Winter Relief,Emergency Relief,130,125,Mixed,All Ages,"The blankets and warm clothing arrived just in time. We are very grateful."
2024-11-05,Southern Zone,Digital Literacy,Skills Development,38,35,Mixed,Youth,"Learning to use the internet safely is important. The training was excellent."
